case,path,elapsedMs,value,canonicalValue,unit
relief-open,vessel.primaryCoolantInventoryKg,162000,282556.1652416941,282556.1652416941,kg
relief-open,vessel.primaryCoolantInventoryKg,163000,282547.6652416943,282547.6652416943,kg
relief-open,vessel.primaryCoolantInventoryKg,164000,282539.16524169454,282539.16524169454,kg
relief-open,vessel.primaryCoolantInventoryKg,165000,282530.6652416948,282530.6652416948,kg
relief-open,vessel.primaryCoolantInventoryKg,166000,282522.165241695,282522.165241695,kg
relief-open,vessel.primaryCoolantInventoryKg,167000,282513.66524169524,282513.66524169524,kg
relief-open,vessel.primaryCoolantInventoryKg,168000,282505.1652416955,282505.1652416955,kg
relief-open,vessel.primaryCoolantInventoryKg,169000,282496.6652416957,282496.6652416957,kg
relief-open,vessel.primaryCoolantInventoryKg,170000,282488.16524169594,282488.16524169594,kg
relief-open,vessel.primaryCoolantInventoryKg,171000,282479.6652416962,282479.6652416962,kg
relief-open,vessel.primaryCoolantInventoryKg,172000,282471.1652416964,282471.1652416964,kg
relief-open,vessel.primaryCoolantInventoryKg,173000,282462.66524169664,282462.66524169664,kg
relief-open,vessel.primaryCoolantInventoryKg,174000,282454.1652416969,282454.1652416969,kg
relief-open,vessel.primaryCoolantInventoryKg,175000,282445.6652416971,282445.6652416971,kg
relief-open,vessel.primaryCoolantInventoryKg,176000,282437.16524169734,282437.16524169734,kg
relief-open,vessel.primaryCoolantInventoryKg,177000,282428.66524169757,282428.66524169757,kg
relief-open,vessel.primaryCoolantInventoryKg,178000,282420.1652416978,282420.1652416978,kg
relief-open,vessel.primaryCoolantInventoryKg,179000,282411.66524169804,282411.66524169804,kg
relief-open,vessel.primaryCoolantInventoryKg,180000,282403.16524169827,282403.16524169827,kg
relief-open,vessel.primaryCoolantInventoryKg,181000,282394.6652416985,282394.6652416985,kg
relief-open,vessel.primaryCoolantInventoryKg,182000,282386.16524169873,282386.16524169873,kg
relief-open,vessel.primaryCoolantInventoryKg,183000,282377.66524169897,282377.66524169897,kg
relief-open,vessel.primaryCoolantInventoryKg,184000,282369.1652416992,282369.1652416992,kg
relief-open,vessel.primaryCoolantInventoryKg,185000,282360.66524169943,282360.66524169943,kg
relief-open,vessel.primaryCoolantInventoryKg,186000,282352.16524169967,282352.16524169967,kg
relief-open,vessel.primaryCoolantInventoryKg,187000,282343.6652416999,282343.6652416999,kg
relief-open,vessel.primaryCoolantInventoryKg,188000,282335.16524170013,282335.16524170013,kg
relief-open,vessel.primaryCoolantInventoryKg,189000,282326.66524170036,282326.66524170036,kg
